school_name,closed_year,school_level,sigungu_name,utilization_status,building_area_sqm,site_area_sqm,road_address,lot_address,office_name,data_asof
목동초백둔분교장,1995,초등학교,가평군,대부,0,14552,,경기도 가평군 북면 백둔리 371-2,가평교육지원청,2025-12-01
목동초화악분교장,1994,초등학교,가평군,대부,1275,7558,경기도 가평군 북면 화악지암길 43-26,경기도 가평군 북면 화악리 564-1,가평교육지원청,2025-12-01
청평초양진분교장,1994,초등학교,가평군,미활용,639,2165,경기도 가평군 청평면 호반로 882,경기도 가평군 청평면 고성리 777-2,가평교육지원청,2025-12-01
상색초두밀분교장,1994,초등학교,가평군,대부,1014,4103,경기도 가평군 가평읍 태봉두밀로 388,경기도 가평군 가평읍 두밀리 11-2,가평교육지원청,2025-12-01
목동초광악분교장,1993,초등학교,가평군,대부,520,7362,경기도 가평군 북면 노씨터길 12,경기도 가평군 북면 화악리 845,가평교육지원청,2025-12-01
구.중리초,2025,초등학교,포천시,미활용,1781,11925,경기도 포천시 관인면 한탄강2로 125-32,경기도 포천시 관인면 중리 209-2,포천교육지원청,2025-12-01
금주초,2022,초등학교,포천시,미활용,2209,15570,경기도 포천시 영중면 궁들길 50,경기도 포천시 영중면 금주리 522-1,포천교육지원청,2025-12-01
영평초,2022,초등학교,포천시,대부,2663,49937,경기도 포천시 영중면 전영로1429번길 5,경기도 포천시 영중면 영평리 240,포천교육지원청,2025-12-01
영중초,2022,초등학교,포천시,미활용,3247,16513,경기도 포천시 영중면 호국로 3054,경기도 포천시 영중면 성동리 891-3,포천교육지원청,2025-12-01
냉정초,1990,초등학교,포천시,대부,3007,10762,경기도 포천시 관인면 찬우물길 201-47,경기도 포천시 관인면 냉정리 339,포천교육지원청,2025-12-01
영북초보광분교장,1995,초등학교,포천시,미활용,353,12834,경기도 포천시 영북면 호국로3552번길 21-15,경기도 포천시 영북면 야미리 276,포천교육지원청,2025-12-01
보장초,2015,초등학교,포천시,대부,1751,10152,경기도 포천시 창수면 창동로 115,경기도 포천시 창수면 오가리 424,포천교육지원청,2025-12-01
관인초사정분교장,1992,초등학교,포천시,대부,650,9787,경기도 포천시 관인면 북원로 371-115,경기도 포천시 관인면 사정리 136-1,포천교육지원청,2025-12-01
삼정초금동분교장,1990,초등학교,포천시,대부,0,7538,경기도 포천시 신북면 탑신로 1148,경기도 포천시 신북면 금동리 247-1,포천교육지원청,2025-12-01
구.대광중,2020,중학교,연천군,대부,2939,33545,경기도 연천군 신서면 구시울길 23,경기도 연천군 신서면 도신리 228,연천교육지원청,2025-12-01
전곡초적동분교장,2018,초등학교,연천군,자체활용,745,8869,경기도 연천군 전곡읍 첫마을길 17,경기도 연천군 전곡읍 늘목리 111-2,연천교육지원청,2025-12-01
구.군남초,2001,초등학교,연천군,대부,2150,12920,경기도 연천군 군남면 군남로 373,경기도 연천군 군남면 삼거리 597,연천교육지원청,2025-12-01
연천왕산초마전분교장(B),2008,초등학교,연천군,대부,413,12878,경기도 연천군 미산면 유노로 164,경기도 연천군 미산면 유촌리 625,연천교육지원청,2025-12-01
백학초고랑포분교장,2002,초등학교,연천군,대부,1031,12979,경기도 연천군 장남면 원당로87번길 34,경기도 연천군 장남면 원당리 678,연천교육지원청,2025-12-01
옥계초,2000,초등학교,연천군,대부,1246,8114,경기도 연천군 군남면 옥계안길 24-43,경기도 연천군 군남면 옥계리 475-4,연천교육지원청,2025-12-01
군남초북삼분교장,1991,초등학교,연천군,대부,259,4863,경기도 연천군 왕징면 북삼로 98,경기도 연천군 왕징면 북삼리 160-4,연천교육지원청,2025-12-01
전곡초양원분교장,1991,초등학교,연천군,대부,551,11283,경기도 연천군 전곡읍 양원로46번길 20,경기도 연천군 전곡읍 양원리 560,연천교육지원청,2025-12-01
연천초고문분교장,2017,초등학교,연천군,미활용,807,8937,경기도 연천군 연천읍 현문로 459,경기도 연천군 연천읍 고문리 259-1,연천교육지원청,2025-12-01
연천왕산초동중분교장,1991,초등학교,연천군,대부,0,7479,경기도 연천군 왕징면 왕산로 816,경기도 연천군 왕징면 동중리 461-1,연천교육지원청,2025-12-01
연천왕산초마전분교장(A),1991,초등학교,연천군,대부,517,6033,경기도 연천군 미산면 마동로 59,경기도 연천군 미산면 동이리 596-1,연천교육지원청,2025-12-01
적성초,1998,초등학교,파주시,자체활용,1443,14716,경기도 파주시 적성면 달빛길 54,경기도 파주시 적성면 가월리 114-5,파주교육지원청,2025-12-01
목동초도대분교장,1995,초등학교,가평군,미활용,732,7187,경기도 가평군 북면 대촌들길 61,경기도 가평군 북면 도대리 139-4,가평교육지원청,2025-12-01
청평초회곡분교장,1994,초등학교,가평군,미활용,1230,5391,경기도 가평군 설악면 유명로 2285,경기도 가평군 설악면 회곡리 528,가평교육지원청,2025-12-01
구.목동초,1999,초등학교,가평군,대부,1734,11943,경기도 가평군 북면 가화로 1059,경기도 가평군 북면 목동리 919,가평교육지원청,2025-12-01
미원초엄소분교장,2000,초등학교,가평군,대부,211,1930,경기도 가평군 설악면 묵안로 181,경기도 가평군 설악면 엄소리 234-30,가평교육지원청,2025-12-01
조종초운악분교장,1999,초등학교,가평군,대부,900,9193,경기도 가평군 조종면 명지산로 83,경기도 가평군 조종면 운악리 214-6,가평교육지원청,2025-12-01
대신초옥촌분교장,1999,초등학교,여주시,미활용,476,8879,경기도 여주시 대신면 대신1로 298,경기도 여주시 대신면 옥촌리 830-1,여주교육지원청,2025-12-01
강천초강남분교장,1999,초등학교,여주시,미활용,929,12717,경기도 여주시 강천면 강천로 324-20,경기도 여주시 강천면 굴암리 9-3,여주교육지원청,2025-12-01
점동초당현분교장,1996,초등학교,여주시,대부,784,9532,경기도 여주시 점동면 성주로 946,경기도 여주시 점동면 당진리 262-1,여주교육지원청,2025-12-01
구.송탄고,2025,고등학교,평택시,자체활용,8965,18347,경기도 평택시 정암로 142,경기도 평택시 이충동 137-5,평택교육지원청,2025-12-01
구.평택중,2024,초등학교,평택시,자체활용,9051,17949,경기도 평택시 평택2로 101,경기도 평택시 비전동 469-8,평택교육지원청,2025-12-01
내기초 신영분교장,2024,초등학교,평택시,미활용,1018,12795,경기도 평택시 포승읍 신영새싹길 86-29,경기도 평택시 포승읍 신영리 269-1,평택교육지원청,2025-12-01
서탄초금각분교장,2000,초등학교,평택시,대부,914,11343,경기도 평택시 서탄면 용소금각로 438-14,경기도 평택시 서탄면 금각리 286-4,평택교육지원청,2025-12-01
구.경수초,2025,초등학교,안산시,자체활용,7447,9202,경기도 안산시 상록구 삼일로 670,경기도 안산시 상록구 성포동 594-3,안산교육지원청,2025-12-01
대동초선감분교장,1990,초등학교,안산시,미활용,929,8855,경기도 안산시 단원구 대부황금로 603,경기도 안산시 단원구 선감동 667-2,안산교육지원청,2025-12-01
구.화정초,1994,초등학교,안산시,대부,665,5818,경기도 안산시 단원구 꽃우물길 97,경기도 안산시 단원구 화정동 519,안산교육지원청,2025-12-01
구.복사초,2024,초등학교,부천시,자체활용,4877,11328,경기도 부천시 소사구 소사로 96,경기도 부천시 소사구 소사본동 405,부천교육지원청,2025-12-01
부천덕산초대장분교장,2021,초등학교,부천시,대부,1357,9576,경기도 부천시 대장로 92,경기도 부천시 대장동 196-1,부천교육지원청,2025-12-01
구.청솔중,2025,중학교,성남시,미활용,11055,15396,경기도 성남시 분당구 금곡로 283,경기도 성남시 분당구 금곡동 124,성남교육지원청,2025-12-01
구.영성여중,2017,중학교,성남시,자체활용,7411,14195,경기도 성남시 수정구 수정로 386,경기도 성남시 수정구 산성동 5,성남교육지원청,2025-12-01
구.영동중,2025,중학교,수원시,미활용,2727,23382,경기도 수원시 영통구 영통로 225,경기도 수원시 영통구 신동 330-1,수원교육지원청,2025-12-01
계정초,2007,초등학교,양평군,미활용,1171,8598,경기도 양평군 양동면 구창말길 2,경기도 양평군 양동면 계정리 1000,양평교육지원청,2025-12-01
지평초일신분교장,2011,초등학교,양평군,대부,1180,7327,경기도 양평군 지평면 구둔영화체험길 17,경기도 양평군 지평면 일신리 674,양평교육지원청,2025-12-01
양동초매월분교장,2007,초등학교,양평군,대부,923,8894,경기도 양평군 양동면 월은길 31,경기도 양평군 양동면 매월리 803-1,양평교육지원청,2025-12-01
양평부안초,2004,초등학교,양평군,대부,1110,9709,경기도 양평군 단월면 단월로 302-17,경기도 양평군 단월면 부안리 236-1,양평교육지원청,2025-12-01
양평단월초산음분교장,2001,초등학교,양평군,대부,723,7175,경기도 양평군 단월면 봉미산샘골길 1,경기도 양평군 단월면 산음리 231-1,양평교육지원청,2025-12-01
석장초,1996,초등학교,양평군,대부,1009,7452,경기도 양평군 개군면 석장길 60-6,경기도 양평군 개군면 석장리 177,양평교육지원청,2025-12-01
부안초명성분교장,1995,초등학교,양평군,대부,390,5040,경기도 양평군 단월면 분지울2길 6-4,경기도 양평군 단월면 명성리 144-2,양평교육지원청,2025-12-01
