fiscal_year,job_category,rank,step,monthly_salary_krw
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",1급,1,4498600
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",2급,1,4049900
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",3급,1,3653800
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",4급(6등급),1,3131600
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",5급(5등급),1,2798500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",6급(4등급),1,2308700
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",7급(3등급),1,2173600
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",8급(2등급),1,2028200
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",9급(1등급),1,2000900
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",1급,2,4656300
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",2급,2,4200100
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",3급,2,3789000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",4급(6등급),2,3259400
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",5급(5등급),2,2911500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",6급(4등급),2,2416100
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",7급(3등급),2,2237100
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",8급(2등급),2,2067600
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",9급(1등급),2,2017000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",1급,3,4818000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",2급,3,4352400
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",3급,3,3928200
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",4급(6등급),3,3389400
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",5급(5등급),3,3029000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",6급(4등급),3,2526800
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",7급(3등급),3,2307500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",8급(2등급),3,2112500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",9급(1등급),3,2039500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",1급,4,4983300
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",2급,4,4506000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",3급,4,4068400
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",4급(6등급),4,3522400
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",5급(5등급),4,3151000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",6급(4등급),4,2640000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",7급(3등급),4,2385500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",8급(2등급),4,2163100
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",9급(1등급),4,2068300
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",1급,5,5152700
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",2급,5,4661900
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",3급,5,4210900
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",4급(6등급),5,3657200
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",5급(5등급),5,3276200
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",6급(4등급),5,2756600
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",7급(3등급),5,2480300
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",8급(2등급),5,2228500
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",9급(1등급),5,2104000
2025,"일반직공무원, 일반직에 준하는 특정직 별정직",1급,6,5324100
