school_code,basic_edu_activity_krw,elective_edu_activity_krw,seoutguse_gubun,fiscal_year
S090003414,105749000,47250000,예산세출,2025
S090003417,91686000,39735000,예산세출,2025
S090003419,91801000,42959000,예산세출,2025
S090003423,76348000,59280000,예산세출,2025
S090003424,55160000,72779000,예산세출,2025
S090003426,67060000,53789000,예산세출,2025
S090003428,53450000,66955000,예산세출,2025
S090003429,49491000,43493000,예산세출,2025
S090003431,99664000,115347000,예산세출,2025
S090003437,60644000,30450000,예산세출,2025
S090003438,158638000,109310000,예산세출,2025
S090003441,80140000,75030000,예산세출,2025
S090003442,90710000,56400000,예산세출,2025
S090003406,155132430,41543360,결산세출,2025
S090003407,139084620,35823140,결산세출,2025
S090003408,137409840,98899900,결산세출,2025
S090003409,203326980,177819780,결산세출,2025
S090003410,371435320,253036790,결산세출,2025
S090003411,443218220,82197590,결산세출,2025
