school_code,school_name,school_level,establishment,office_name,sido_name,region_name,excluded
S090000881,가평마장초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000882,가평초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000885,대성초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000890,목동초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000892,목동초등학교명지분교장,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000895,미원초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000899,미원초등학교위곡분교장,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000900,미원초등학교장락분교장,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000901,방일초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000905,상면초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000906,상색초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000908,상천초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000910,연하초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000914,율길초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000916,조종초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000920,청평초등학교,초등학교,공립,경기도가평교육지원청,경기도교육청,경기도 가평군,False
S090000974,가람초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000975,강선초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산서구,False
S090000976,고봉초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산동구,False
S090000977,고양백석초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산동구,False
S090000978,고양신일초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산서구,False
S090000979,고양용현초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000980,고양초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000981,고양화수초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000982,고양화정초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000983,금계초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산동구,False
S090000984,낙민초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산동구,False
S090000985,내유초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000986,냉천초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산동구,False
S090000987,능곡초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000988,대곡초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000989,대화초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산서구,False
S090000990,덕은초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
S090000991,덕이초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 일산서구,False
S090000992,무원초등학교,초등학교,공립,경기도고양교육지원청,경기도교육청,경기도 고양시 덕양구,False
