school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090001641,예산세출,2201320000,1683980000,54450000,339294000,0,5010000,2025
S090002469,예산세출,3841740000,1253920000,108150000,346653000,598189000,90000000,2025
S090002504,예산세출,6368399000,2103365000,122516000,1497726000,441074000,0,2025
S090000881,예산세출,9020000,65549000,5530000,206552000,0,0,2025
S090000882,예산세출,9450000,249474000,60760000,413969000,0,10044000,2025
S090000885,예산세출,16640000,65880000,15980000,244424000,0,177000,2025
S090000890,예산세출,6030000,225619000,15250000,227080000,53000000,0,2025
S090000892,,0,0,0,0,0,0,2025
S090000895,예산세출,7845000,402832000,27476000,544336000,0,0,2025
S090000899,,0,0,0,0,0,0,2025
S090000900,,0,0,0,0,0,0,2025
S090000901,예산세출,1200000,60239000,33490000,240493000,0,0,2025
S090000905,예산세출,7150000,52872000,7550000,224776000,0,5600000,2025
S090000906,예산세출,10345000,68077000,13340000,187576000,15815000,155000,2025
S090000908,예산세출,8370000,100516000,6720000,238789000,31802000,1500000,2025
S090000910,예산세출,4655000,75112000,17102000,217750000,0,95000,2025
S090000914,예산세출,6270000,73383000,20000000,179153000,0,100000,2025
S090000916,예산세출,2800000,306252000,30431000,346670000,0,2000000,2025
S090000920,예산세출,8810000,526976000,27210000,307760000,0,15288000,2025
S090000974,예산세출,6550000,127640000,20418000,301695000,0,0,2025
S090000975,예산세출,2800000,628719000,58690000,332500000,0,2000000,2025
S090000976,예산세출,4570000,489193000,31336000,305633000,0,0,2025
S090000977,예산세출,9920000,517309000,51066000,299541000,220000000,0,2025
S090000978,예산세출,9480000,1042856000,62779000,339230000,0,0,2025
S090000979,예산세출,5150000,412533000,51384000,287305000,0,5000,2025
S090000980,예산세출,6300000,502439000,36486000,321178000,0,0,2025
S090000981,예산세출,6150000,612684000,54892000,377451000,0,140000,2025
S090000982,예산세출,12780000,1102091000,79568000,324412000,0,0,2025
S090000983,예산세출,13900000,535100000,37378000,367295000,0,400000,2025
S090000984,예산세출,7870000,784361000,54033000,329336000,0,3383000,2025
S090000985,예산세출,10220000,944537000,65519000,352778000,0,0,2025
S090000986,예산세출,6370000,557209000,45130000,311193000,0,0,2025
S090000987,예산세출,7650000,806764000,50534000,372747000,0,466000,2025
S090000988,예산세출,4510000,147908000,15616000,244500000,0,0,2025
S090000989,예산세출,5500000,190131000,43700000,244723000,0,0,2025
S090000990,예산세출,7680000,450216000,29844000,265534000,0,0,2025
S090000991,예산세출,7600000,84619000,54678000,267719000,0,0,2025
S090000992,예산세출,8080000,825204000,78808000,269607000,320000000,10000,2025
S090000993,예산세출,8940000,340690000,65428000,299551000,0,100000,2025
S090000994,예산세출,5090000,655661000,47058000,305911000,0,0,2025
S090000995,예산세출,6900000,461075000,53930000,341257000,0,0,2025
S090000998,예산세출,6350000,567434000,25736000,261916000,0,0,2025
S090000999,예산세출,3110000,249614000,24275000,255188000,0,0,2025
S090001000,예산세출,7360000,347465000,134957000,271943000,0,0,2025
S090001001,예산세출,12550000,957987000,87302000,293417000,0,0,2025
S090001002,예산세출,15070000,945126000,35376000,372208000,0,0,2025
S090001003,예산세출,8400000,534943000,51312000,291617000,0,0,2025
S090001004,예산세출,9200000,823679000,68034000,287957000,0,10000,2025
S090001005,예산세출,4020000,126651000,36198000,231121000,190000000,2000,2025
S090001006,예산세출,6420000,640571000,37338000,317390000,0,0,2025
S090001007,예산세출,8510000,472536000,24410000,296291000,0,0,2025
S090001008,예산세출,7360000,489100000,31657000,285449000,0,0,2025
S090001009,예산세출,3850000,505393000,43152000,295656000,0,0,2025
S090001010,예산세출,5420000,416327000,46350000,323172000,0,0,2025
S090001011,예산세출,4540000,194745000,19750000,278202000,0,1000000,2025
S090001012,예산세출,16700000,1150310000,66173000,333836000,0,0,2025
S090001014,예산세출,2220000,583132000,45802000,330821000,0,0,2025
S090001015,예산세출,13290000,667663000,51688000,338771000,0,0,2025
S090001016,예산세출,10260000,1401480000,66217000,460574000,0,0,2025
S090001017,예산세출,4130000,69829000,23440000,258159000,0,50000,2025
S090001018,예산세출,2700000,228306000,13655000,301747000,0,0,2025
S090001019,예산세출,5380000,474200000,42808000,300086000,0,0,2025
S090001020,예산세출,19280000,1752296000,113233000,432137000,0,3020000,2025
S090001021,예산세출,5140000,443057000,43470000,306696000,0,0,2025
S090001023,예산세출,3720000,554569000,47935000,310256000,0,0,2025
S090001024,예산세출,6440000,482866000,39997000,261415000,0,1000,2025
S090001025,예산세출,8800000,257194000,21702000,282967000,0,0,2025
S090001026,예산세출,5190000,560734000,36307000,318550000,120000000,0,2025
S090001027,예산세출,7900000,889636000,53710000,311821000,0,0,2025
S090001028,예산세출,6400000,502928000,46453000,297753000,0,0,2025
S090001029,예산세출,6500000,579603000,37424000,334179000,0,0,2025
S090001030,예산세출,8050000,523521000,38715000,325498000,0,0,2025
S090001032,예산세출,4692000,378829000,20076000,326591000,0,0,2025
S090001033,예산세출,6600000,871523000,59792000,363959000,0,50000,2025
S090001034,예산세출,5570000,613491000,63795000,306286000,0,0,2025
S090001035,예산세출,2075000,335837000,23428000,286998000,0,0,2025
S090001036,예산세출,6470000,429770000,34288000,308437000,0,500000,2025
S090001037,예산세출,4910000,255651000,28647000,207323000,0,0,2025
S090001038,예산세출,9850000,850104000,36102000,420051000,0,0,2025
S090001039,예산세출,13900000,1287817000,45207000,430047000,0,0,2025
S090001040,예산세출,4820000,475295000,43444000,260004000,0,0,2025
S090001041,예산세출,5375000,555802000,27079000,280150000,0,180000,2025
S090001042,예산세출,97278000,538380000,40938000,322126000,0,0,2025
S090001043,예산세출,12290000,1393953000,66145000,404297000,0,10000,2025
S090001199,예산세출,4790000,669188000,48646000,301683000,0,0,2025
S090001201,예산세출,6100000,881761000,73455000,388442000,0,0,2025
