year,학교명,학제명,교육지원청,학교상태
2014,경수초등학교,초등학교,안산,기존(원)교
2014,보개초등학교가율분교장,초등학교,안성,기존(원)교
2014,신풍초등학교신풍분교장,초등학교,수원,기존(원)교
2014,금주초등학교,초등학교,포천,기존(원)교
2014,고골초등학교,초등학교,광주·하남,기존(원)교
2014,대원초등학교,초등학교,성남,기존(원)교
2014,내기초등학교신영분교장,초등학교,평택,기존(원)교
2014,보장초등학교,초등학교,포천,기존(원)교
2014,법원초등학교,초등학교,파주,기존(원)교
2014,부발초등학교백록분교장,초등학교,이천,기존(원)교
2014,북내초등학교운암분교장,초등학교,여주,기존(원)교
2014,매홀초등학교삼미분교장,초등학교,화성·오산,기존(원)교
2014,북내초등학교주암분교장,초등학교,여주,기존(원)교
2014,방초초등학교,초등학교,안성,기존(원)교
2014,영중초등학교,초등학교,포천,기존(원)교
2014,마석초등학교녹촌분교장,초등학교,구리·남양주,기존(원)교
2014,대남초등학교풍도분교장,초등학교,안산,기존(원)교
2014,서종초등학교정배분교장(폐교),초등학교,양평,폐(원)교
2014,연천초등학교고문분교장,초등학교,연천,기존(원)교
2014,영평초등학교,초등학교,포천,기존(원)교
2014,부천덕산초등학교대장분교장,초등학교,부천,기존(원)교
2014,원곡초등학교성은분교장,초등학교,안성,기존(원)교
2014,서삼초등학교,초등학교,안성,기존(원)교
2014,서신초등학교제부분교장,초등학교,화성·오산,기존(원)교
2014,중리초등학교,초등학교,포천,기존(원)교
2014,전곡초등학교적동분교장,초등학교,연천,기존(원)교
2014,화남초등학교(휴교),초등학교,화성·오산,휴(원)교
2014,장명초등학교장일분교장,초등학교,화성·오산,기존(원)교
2014,기흥중학교,중학교,용인,기존(원)교
2014,군서중학교,중학교,시흥,기존(원)교
2014,여주여자중학교,중학교,여주,기존(원)교
2014,부천북여자중학교,중학교,부천,기존(원)교
2014,의정부서중학교,중학교,의정부,기존(원)교
2014,부천북중학교,중학교,부천,기존(원)교
2014,영성여자중학교,중학교,성남,기존(원)교
2014,청솔중학교,중학교,성남,기존(원)교
2014,안양서여자중학교,중학교,안양·과천,기존(원)교
2014,창곡여자중학교,중학교,성남,기존(원)교
2014,창곡중학교,중학교,성남,기존(원)교
2014,송탄제일중학교,중학교,평택,기존(원)교
2014,보영여자중학교,중학교,동두천·양주,기존(원)교
2014,숭신여자중학교,중학교,성남,기존(원)교
2014,파주광일중학교,중학교,파주,기존(원)교
2014,구미중학교,중학교,성남,기존(원)교
2015,경수초등학교,초등학교,안산,기존(원)교
2015,보개초등학교가율분교장,초등학교,안성,기존(원)교
2015,신풍초등학교신풍분교장,초등학교,수원,기존(원)교
2015,금주초등학교,초등학교,포천,기존(원)교
2015,고골초등학교,초등학교,광주·하남,기존(원)교
2015,대원초등학교,초등학교,성남,기존(원)교
2015,내기초등학교신영분교장,초등학교,평택,기존(원)교
2015,보장초등학교,초등학교,포천,폐(원)교
2015,법원초등학교,초등학교,파주,기존(원)교
2015,부발초등학교백록분교장,초등학교,이천,기존(원)교
2015,북내초등학교운암분교장,초등학교,여주,기존(원)교
2015,매홀초등학교삼미분교장,초등학교,화성·오산,기존(원)교
2015,북내초등학교주암분교장,초등학교,여주,기존(원)교
