school_code,school_name,lat,lon
S090000881,가평마장초등학교,37.85997251,127.5142923
S090000882,가평초등학교,37.83081328,127.5072897
S090000885,대성초등학교,37.68312575,127.3776928
S090000890,목동초등학교,37.87934605,127.5481207
S090000895,미원초등학교,37.67952506,127.4907358
S090000899,미원초등학교위곡분교장,37.67062317,127.5153329
S090000900,미원초등학교장락분교장,37.70388933,127.5401557
S090000901,방일초등학교,37.62929786,127.4994479
S090000905,상면초등학교,37.7760635,127.3711377
S090000906,상색초등학교,37.80540353,127.4849856
S090000908,상천초등학교,37.77011441,127.4560853
S090000910,연하초등학교,37.80326029,127.3425054
S090000914,율길초등학교,37.83790181,127.2885688
S090000916,조종초등학교,37.82151519,127.348932
S090000920,청평초등학교,37.73783289,127.4218861
S090000974,가람초등학교,37.62371945,126.8422244
S090000975,강선초등학교,37.67122823,126.7646257
S090000976,고봉초등학교,37.69613944,126.7826205
S090000977,고양백석초등학교,37.65213917,126.7890577
S090000978,고양신일초등학교,37.67954962,126.7708302
S090000979,고양용현초등학교,37.61517772,126.8382259
S090000980,고양초등학교,37.70312414,126.899631
S090000981,고양화수초등학교,37.64537919,126.8327312
S090000982,고양화정초등학교,37.63400605,126.826111
S090000983,금계초등학교,37.649601,126.7843119
S090000984,낙민초등학교,37.65392838,126.7801004
S090000985,내유초등학교,37.71556258,126.8519554
S090000986,냉천초등학교,37.66672298,126.7856589
S090000987,능곡초등학교,37.62445113,126.8159437
S090000988,대곡초등학교,37.64115655,126.8127529
S090000989,대화초등학교,37.67157089,126.7323693
S090000990,덕은초등학교,37.60332601,126.8727127
S090000991,덕이초등학교,37.69275572,126.7483805
S090000992,무원초등학교,37.6176977,126.8316582
S090000993,문촌초등학교,37.6733938,126.7604434
S090000994,문화초등학교,37.67486374,126.7672033
S090000995,백마초등학교,37.65789717,126.7908831
S090000998,백신초등학교,37.64426795,126.7811094
S090000999,백양초등학교,37.63225803,126.8361005
S090001000,벽제초등학교,37.69562939,126.8432728
S090001001,삼송초등학교,37.6541995,126.8823957
S090001002,상탄초등학교,37.6951347,126.7666945
S090001003,성라초등학교,37.65279018,126.8338443
S090001004,성사초등학교,37.65782169,126.8436524
S090001005,성석초등학교,37.70737883,126.8123741
S090001006,성신초등학교,37.62663419,126.83992
S090001007,성저초등학교,37.68474502,126.7573647
S090001008,소만초등학교,37.61754278,126.8395857
S090001009,송포초등학교,37.68540122,126.7205405
S090001010,일산은행초등학교,37.66932912,126.8064844
S090001011,신능초등학교,37.62414406,126.8312671
S090001012,신원초등학교,37.66780558,126.8858833
S090001014,신촌초등학교,37.68162503,126.7661082
S090001015,안곡초등학교,37.68475123,126.7818546
S090001016,오마초등학교,37.67704114,126.7629997
S090001017,용두초등학교,37.62157483,126.8932079
S090001018,용정초등학교,37.63854875,126.8297047
S090001019,원당초등학교,37.66235886,126.834931
S090001020,원중초등학교,37.6751316,126.814731
S090001021,율동초등학교,37.67544394,126.7788445
S090001023,일산초등학교,37.68298887,126.7719674
S090001024,장성초등학교,37.67794916,126.7496619
S090001025,장촌초등학교,37.67282742,126.7489605
S090001026,저동초등학교,37.66801128,126.7738784
S090001027,정발초등학교,37.65577171,126.783759
S090001028,주엽초등학교,37.66738993,126.7615108
S090001029,중산초등학교,37.69044448,126.7835571
S090001030,지도초등학교,37.62827339,126.8337591
S090001032,토당초등학교,37.61719519,126.8262942
S090001033,풍산초등학교,37.66687039,126.7967057
S090001034,한수초등학교,37.66933747,126.7575689
S090001035,행남초등학교,37.61518264,126.8425493
S090001036,행신초등학교,37.62194692,126.8364546
S090001037,행주초등학교,37.6034034,126.8243428
S090001038,현산초등학교,37.69269168,126.7710938
S090001039,호곡초등학교,37.70111367,126.7667961
S090001040,호수초등학교,37.6470271,126.7779626
S090001041,화중초등학교,37.64089349,126.8360183
S090001042,황룡초등학교,37.69844738,126.7680071
S090001043,흥도초등학교,37.62748273,126.8718082
S090001199,가림초등학교,37.45855007,126.8789116
S090001201,광명광덕초등학교,37.47393367,126.8659323
S090001202,광명광성초등학교,37.47885028,126.873071
S090001203,광명남초등학교,37.47512709,126.8537024
S090001204,광명동초등학교,37.48395182,126.8633963
S090001205,광명북초등학교,37.48649649,126.8676338
S090001206,광명서초등학교,37.47847217,126.8470137
S090001207,광명초등학교,37.48086006,126.857414
S090001208,광문초등학교,37.46688788,126.8516677
S090001210,광일초등학교,37.47162377,126.8469394
S090001211,도덕초등학교,37.48457015,126.8702495
S090001212,서면초등학교,37.43863936,126.8795927
S090001213,소하초등학교,37.44927566,126.8873732
S090001214,안서초등학교,37.40278319,126.8706442
S090001215,연서초등학교,37.46593524,126.88242
S090001216,온신초등학교,37.44276065,126.8468523
S090001217,철산초등학교,37.46979433,126.8745934
S090001218,하안남초등학교,37.46217243,126.8852513
S090001219,하안북초등학교,37.46470851,126.8691342
S090001220,하안초등학교,37.46306043,126.873989
S090001221,하일초등학교,37.46908545,126.8764178
S090001279,경안초등학교,37.41151696,127.2477647
S090001281,곤지암초등학교,37.34966983,127.3381352
S090001282,광남초등학교,37.39401569,127.2304609
S090001284,광주광명초등학교,37.35961347,127.1609419
S090001285,광주매곡초등학교,37.37221201,127.2486143
S090001286,광주초등학교,37.41062971,127.2552011
S090001288,광지원초등학교,37.46389638,127.251734
S090001289,남한산초등학교,37.47862091,127.1860783
S090001290,덕풍초등학교,37.54067674,127.1975011
S090001291,도곡초등학교,37.37087071,127.2996093
S090001292,도궁초등학교,37.33465402,127.3124887
S090001293,도수초등학교,37.47187879,127.3182656
S090001294,도심초등학교,37.58015633,127.2273682
S090001295,도척초등학교,37.30364333,127.3319893
S090001296,동부초등학교,37.53748386,127.2021348
S090001298,만선초등학교,37.36640135,127.4111165
S090001299,망월초등학교,37.57083433,127.1806492
S090001301,번천초등학교,37.44515314,127.2669502
S090001302,분원초등학교,37.49625742,127.3034488
S090001305,산곡초등학교,37.5040936,127.2345321
S090001306,삼리초등학교,37.35782142,127.3243262
S090001307,서부초등학교,37.51574263,127.1620385
S090001308,선동초등학교,37.37809776,127.3175855
S090001309,신장초등학교,37.54267108,127.2080043
S090001310,쌍령초등학교,37.39892325,127.2810845
S090001311,오포초등학교,37.36089247,127.2156113
S090001312,창우초등학교,37.54065829,127.2237555
S090001314,초월초등학교,37.40790493,127.3078667
S090001315,탄벌초등학교,37.4201828,127.2485144
S090001316,태전초등학교,37.38885946,127.2271184
S090001317,하남천현초등학교,37.53808695,127.2161188
S090001318,하남초등학교,37.53742616,127.2221663
S090001380,갈뫼초등학교,37.37679311,126.9722114
S090001381,고천초등학교,37.3489678,126.9756357
S090001382,곡란초등학교,37.37424391,126.9338506
S090001383,관모초등학교,37.37620221,126.938033
S090001384,광정초등학교,37.36593675,126.9305979
S090001385,군포양정초등학교,37.35930627,126.9406945
S090001386,군포옥천초등학교,37.34387477,126.9452915
S090001387,군포초등학교,37.34823766,126.9419284
S090001388,군포화산초등학교,37.35326066,126.934562
